Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Bwd Packets/s,SYN Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Active Mean,Active Std,Inbound,Label
6,110861755,26,26,616.0,297.0,80.46006176023937,0.0,29.53846153846155,12.484016692681802,1.0,110682226.0,4427289.04,1.0,0,520,784,0.2345263251515367,0,1,1.0,16329,245,20,198805.45454545453,64223.33898570463,0,BENIGN
6,40335006,9,10,8.0,1.0,0.3333333333333333,0.0,6.2,1.735465218475485,1.0,40244490.0,4471610.0,1.0,0,180,200,0.247923602639355,0,1,1.0,63979,31320,20,90226.5,43.55456348076513,0,BENIGN
0,113244633,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,-1,-1,0,248176.75,859690.5854158044,0,BENIGN
6,95628949,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2091416899290611,2.0,90261819.0,4750622.052631578,2.0,0,420,640,0.2091416899290611,0,1,0.0,16209,237,20,14901.222222222224,177.42236173730896,0,BENIGN
6,95613243,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2091760447870176,1.0,90277591.0,4751452.157894737,1.0,0,420,640,0.2091760447870176,0,1,0.0,16383,250,20,26508.33333333333,17.902513789968108,0,BENIGN
6,95597710,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2092100323323644,1.0,90293036.0,4752265.052631578,2.0,0,420,640,0.2092100323323645,0,1,0.0,16383,250,20,26475.777777777777,29.3844252018724,0,BENIGN
6,95550752,22,20,51.0,31.0,6.4097125976455125,0.0,0.0,0.5337477616084068,2.0,90277384.0,4751441.263157895,2.0,0,440,400,0.2093128476895712,0,1,0.0,16425,4756,20,20916.4,43.98282493074914,0,BENIGN
6,95488268,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2094498142955111,1.0,90293203.0,4752273.842105263,2.0,0,420,640,0.2094498142955112,0,1,0.0,16228,288,20,27966.44444444444,57.34786637511299,0,BENIGN
6,95441625,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2095521739073491,1.0,90308541.0,4753081.105263158,1.0,0,420,640,0.2095521739073491,0,1,0.0,16383,250,20,26464.33333333333,26.05762844159041,0,BENIGN
6,95426030,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2095864199736696,1.0,90293032.0,4752264.842105264,1.0,0,420,640,0.2095864199736696,0,1,0.0,16383,250,20,26502.11111111111,39.05587165985611,0,BENIGN
6,10752566,5,6,4.0,1.0,0.4472135954999579,0.0,10.333333333333334,6.138069740748395,1.0,10693939.0,2138787.8,2.0,0,100,168,0.5580063400680358,0,1,1.0,16425,114,20,58252.0,0.0,0,BENIGN
6,116700629,28,28,904.0,440.0,115.15492210346932,0.0,56.28571428571431,21.250956582247728,1.0,116672726.0,4321212.074074073,1.0,0,560,848,0.2399301549608614,0,1,1.0,16425,294,20,45423.16666666668,60335.81916970043,0,BENIGN
6,40071270,9,10,8.0,1.0,0.3333333333333333,0.0,6.2,1.746887483226761,1.0,40007476.0,4445275.111111111,1.0,0,180,200,0.2495553547466801,0,1,1.0,63398,33580,20,63489.75,29.624033036257902,0,BENIGN
6,95301325,22,20,73.0,53.0,11.098632964453492,0.0,0.0,0.7659914487023134,1.0,90308553.0,4753081.736842106,1.0,0,440,640,0.2098606708773461,0,1,0.0,63520,14180,20,33205.77777777778,35.04917180825364,0,BENIGN
6,40022787,9,10,8.0,1.0,0.3333333333333333,0.0,6.2,1.7490036363534602,1.0,39963158.0,4440350.888888889,1.0,0,180,296,0.2498576623362086,0,1,1.0,16214,123,20,59376.5,33.84769809996866,0,BENIGN
6,119743393,37,42,17768.0,3036.0,925.7602021862638,0.0,62.57142857142857,170.33090084561076,0.0,119714613.0,2919868.6097560977,0.0,0,740,1104,0.3507500409646819,0,1,1.0,16315,556,20,82452.24999999999,97034.7275530542,0,BENIGN
6,100370681,42,64,2744.0,175.0,72.89306121973297,0.0,48.24999999999999,58.10461722382853,0.0,100344142.0,1592764.1587301583,1.0,1,864,1280,0.637636403004977,0,1,1.0,16260,313,20,326848.66666666674,62282.10902284326,0,BENIGN
6,40376804,11,12,10.0,1.0,0.3015113445777636,0.0,5.166666666666666,1.7832020582906958,1.0,40316737.0,3665157.9090909087,1.0,0,220,360,0.2972003430484493,0,1,1.0,16236,122,20,59917.5,28.95398648430585,0,BENIGN
6,40376613,11,12,10.0,1.0,0.3015113445777636,0.0,5.166666666666666,1.783210493658792,1.0,40316850.0,3665168.1818181816,1.0,0,220,240,0.297201748943132,0,1,1.0,63487,32120,20,59523.5,55.66866263886708,0,BENIGN
6,95067565,21,20,20.0,1.0,0.2182178902359924,0.0,0.0,0.2103766936704437,1.0,90293032.0,4752264.842105263,1.0,0,420,640,0.2103766936704437,0,1,0.0,16228,292,20,27933.55555555556,53.09216305423779,0,BENIGN
0,113714745,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,-1,-1,0,287714.16666666674,996654.4187768516,0,BENIGN
6,95909509,22,20,73.0,53.0,11.098632964453492,0.0,0.0,0.7611341227906818,1.0,90293125.0,4752269.736842105,1.0,0,440,640,0.2085298966549813,0,1,0.0,63104,14202,20,33214.60000000001,78.42930291386985,0,BENIGN
6,39337035,11,10,10.0,1.0,0.3015113445777636,0.0,6.2,1.830336221324256,1.0,38998962.0,4333218.000000001,1.0,0,220,200,0.2542133640728133,0,1,0.0,63489,30968,20,591277.0,506975.3403726852,0,BENIGN
6,114813861,35,40,17724.0,3028.0,942.819713288127,0.0,65.7,177.26082741873822,0.0,114785041.0,2943206.17948718,0.0,0,700,1040,0.3483899909959477,0,1,1.0,16315,556,20,534792.1818181815,1537625.9008019357,0,BENIGN
17,56824,2,2,64.0,32.0,0.0,128.0,128.0,5631.423342249754,2.0,3.0,3.0,3.0,0,40,40,35.19639588906096,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
17,104191,2,2,82.0,41.0,0.0,57.0,57.0,1881.160560892976,2.0,2.0,2.0,2.0,0,40,64,19.195515927479327,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
6,58194,1,1,0.0,0.0,0.0,0.0,0.0,0.0,58194.0,0.0,0.0,0.0,0,20,20,17.18390212049352,0,1,1.0,16417,114,20,0.0,0.0,0,BENIGN
6,107,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,20,40,18691.58878504673,0,1,2.0,114,16417,20,0.0,0.0,1,BENIGN
0,114004796,14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,-1,-1,0,557.75,1111.5,0,BENIGN
6,132757,4,2,62.0,31.0,17.897858344878394,35.0,35.0,994.29785246729,2.0,3.0,3.0,3.0,1,80,40,15.06511897677712,0,1,0.0,119,255,20,0.0,0.0,1,BENIGN
17,65115,2,2,62.0,31.0,0.0,91.0,91.0,3747.216463180527,1.0,2.0,2.0,2.0,0,16,40,30.714889042463327,0,0,1.0,-1,-1,8,0.0,0.0,0,BENIGN
17,20700,2,2,94.0,47.0,0.0,103.0,103.0,14492.753623188406,1.0,3.0,3.0,3.0,0,16,64,96.61835748792272,0,0,1.0,-1,-1,8,0.0,0.0,0,BENIGN
6,501734,13,10,1510.0,386.0,181.4115239604172,0.0,1231.8,27560.420461838345,1.0,407588.0,45287.55555555556,2.0,0,284,224,19.930879709168607,0,0,0.0,8192,1892,20,0.0,0.0,0,BENIGN
17,55414,2,2,84.0,42.0,0.0,200.0,200.0,8734.254881437904,2.0,2.0,2.0,2.0,0,64,40,36.09196231999135,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,45922,2,2,94.0,47.0,0.0,103.0,103.0,6532.81651496015,3.0,3.0,3.0,3.0,0,64,40,43.552110099734335,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,83043,2,2,62.0,31.0,0.0,91.0,91.0,2938.2368170706736,2.0,2.0,2.0,2.0,0,64,40,24.083908336644868,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,20729,2,2,88.0,44.0,0.0,60.0,60.0,10034.251531670609,1.0,2.0,2.0,2.0,0,64,64,96.48318780452507,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,20721,2,2,88.0,44.0,0.0,72.0,72.0,11196.370831523574,3.0,3.0,3.0,3.0,0,64,40,96.52043820278944,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,20648,2,2,74.0,37.0,0.0,93.0,93.0,12592.018597442851,2.0,3.0,3.0,3.0,0,40,64,96.86168151879116,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
17,20725,2,2,76.0,38.0,0.0,94.0,94.0,12738.23884197829,1.0,1.0,1.0,1.0,0,40,64,96.50180940892643,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
6,110012969,32,30,1208.0,297.0,99.55611158958908,0.0,51.2,24.942513823074805,1.0,109998096.0,3793037.7931034486,1.0,0,664,864,0.2726951219723922,0,0,0.0,8192,245,20,26265.36363636364,25552.72102251628,0,BENIGN
17,20598,2,2,78.0,39.0,0.0,71.0,71.0,10680.64860666084,2.0,3.0,3.0,3.0,0,64,40,97.09680551509857,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,45083,2,2,74.0,37.0,0.0,93.0,93.0,5767.140607324269,1.0,1.0,1.0,1.0,0,64,40,44.36262005634053,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,47304,2,2,76.0,38.0,0.0,94.0,94.0,5580.923389142567,1.0,1.0,1.0,1.0,0,64,40,42.279722645019454,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,20621,2,2,78.0,39.0,0.0,95.0,95.0,12996.45991949954,2.0,2.0,2.0,2.0,0,40,40,96.98850686193686,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
17,55165,2,2,78.0,39.0,0.0,95.0,95.0,4858.15281428442,2.0,2.0,2.0,2.0,0,40,40,36.25487174839119,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
17,20556,2,2,86.0,43.0,0.0,97.0,97.0,13621.32710644094,2.0,2.0,2.0,2.0,0,40,40,97.29519361743527,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
17,20590,2,2,84.0,42.0,0.0,58.0,58.0,9713.453132588636,3.0,3.0,3.0,3.0,0,40,64,97.13453132588634,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
6,231615,7,2,818.0,409.0,199.57156491797505,0.0,0.0,3531.722902229994,1.0,1.0,1.0,1.0,0,164,64,8.635019320855731,0,0,0.0,8192,29200,20,0.0,0.0,0,BENIGN
17,20665,2,2,88.0,44.0,0.0,198.0,198.0,23421.243648681346,3.0,3.0,3.0,3.0,0,64,64,96.78199854827,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,45035,2,2,84.0,42.0,0.0,58.0,58.0,4440.990340846009,2.0,2.0,2.0,2.0,0,64,40,44.409903408460096,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,20631,2,2,84.0,42.0,0.0,127.0,127.0,16383.11279143037,3.0,3.0,3.0,3.0,0,64,64,96.94149580728028,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,45282,2,2,88.0,44.0,0.0,198.0,198.0,10688.573826244425,2.0,2.0,2.0,2.0,0,64,40,44.16766043902653,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
6,60879321,29,23,2458.0,580.0,191.87098626279612,0.0,287.4782608695653,148.9832647772139,1.0,60787033.0,2763046.954545455,1.0,0,604,468,0.3777965920480617,0,0,0.0,8192,31320,20,146634.0,133893.0714323934,0,BENIGN
17,20555,2,2,100.0,50.0,0.0,178.0,178.0,22184.38336171248,2.0,2.0,2.0,2.0,0,64,64,97.29992702505471,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
6,520827,18,13,2890.0,612.0,233.0882746747457,0.0,520.6153846153846,18543.58548999956,1.0,370717.0,30893.08333333333,1.0,0,384,284,24.960303517290768,0,0,0.0,8192,119,20,0.0,0.0,0,BENIGN
17,20754,2,2,100.0,50.0,0.0,132.0,132.0,17538.787703575214,1.0,1.0,1.0,1.0,0,64,40,96.36696540425942,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
6,55914,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1418.0,709.0,1.0,0,20,60,53.653825517759415,0,1,3.0,256,1892,20,0.0,0.0,0,BENIGN
17,20740,2,2,70.0,35.0,0.0,83.0,83.0,11378.97782063645,1.0,2.0,2.0,2.0,0,40,40,96.43201542912244,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
6,55344,1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3368.0,1684.0,1.0,0,20,60,54.20641803989592,0,1,3.0,256,1959,20,0.0,0.0,0,BENIGN
17,44878,2,2,70.0,35.0,0.0,83.0,83.0,5258.701368153661,2.0,2.0,2.0,2.0,0,40,40,44.565265831810684,0,0,1.0,-1,-1,20,0.0,0.0,0,BENIGN
6,117348745,39,32,2662.0,440.0,160.58474036908427,0.0,147.74999999999997,62.9746828566424,1.0,112535079.0,3630163.8387096776,1.0,0,804,928,0.2726914548596153,0,0,0.0,8192,292,20,229672.5454545455,668974.9820090978,0,BENIGN
6,119641612,38,34,2662.0,440.0,162.34280502762962,0.0,139.0,61.75109041493022,1.0,119613636.0,3624655.636363636,1.0,0,784,968,0.284182062006988,0,0,0.0,8192,292,20,173502.3333333333,485840.6441166661,0,BENIGN
17,20635,2,2,72.0,36.0,0.0,52.0,52.0,8529.197964623212,1.0,1.0,1.0,1.0,0,64,64,96.9227041434456,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
17,20602,2,2,72.0,36.0,0.0,104.0,104.0,13590.913503543346,2.0,2.0,2.0,2.0,0,64,40,97.07795359673818,0,0,1.0,-1,-1,32,0.0,0.0,0,BENIGN
6,98,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,20,40,20408.163265306124,0,1,2.0,1892,256,20,0.0,0.0,1,BENIGN
6,84,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,20,40,23809.52380952381,0,1,2.0,1959,256,20,0.0,0.0,1,BENIGN
